Notebook,ForLoops,RangeIters,MaxDepth
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1027385.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1027960.ipynb,2,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1028230.ipynb,10,0,6
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1028231.ipynb,10,0,6
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1028645.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_102885.ipynb,3,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_102886.ipynb,3,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_102948.ipynb,4,4,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1030642.ipynb,3,0,3
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1030913.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1030914.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_103154.ipynb,2,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_103234.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1033161.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_103332.ipynb,2,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1033375.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1033448.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1033449.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1033970.ipynb,3,3,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1034341.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1034788.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1034973.ipynb,6,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1035198.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1036970.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1037603.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1037665.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1037814.ipynb,4,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1038034.ipynb,3,2,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1038071.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1039012.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_10394.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1040597.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1040944.ipynb,3,1,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1041402.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1041404.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1041734.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1042121.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1042178.ipynb,2,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1042326.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1042615.ipynb,24,9,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1042881.ipynb,4,1,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1043275.ipynb,3,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1043280.ipynb,3,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1043316.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1043317.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1043739.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1044316.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1044427.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1044436.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1044503.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1044707.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_10448.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1044926.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1044927.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1045048.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1045889.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1046128.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1046257.ipynb,3,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1046339.ipynb,9,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_104649.ipynb,28,19,2
